"","age","levels","gender","place"
"1",52,"Лікар-спеціаліст",1,"м. Львів"
"2",36,"Лікар-спеціаліст",2,"Львівська область"
"3",29,"Лікар-спеціаліст",1,"Львівська область"
"4",34,"Лікар-спеціаліст",1,"м. Львів"
"5",72,"Лікар-спеціаліст",2,"м. Львів"
"6",58,"Лікар-спеціаліст",2,"Львівська область"
"7",55,"Лікар-спеціаліст",2,"Львівська область"
"8",40,"Лікар-спеціаліст",1,"м. Львів"
"9",47,"Лікар-спеціаліст",2,"м. Львів"
"10",52,"Лікар-спеціаліст",1,"Не вказано"
"11",63,"Лікар-спеціаліст",1,"Не вказано"
"12",47,"Лікар-спеціаліст",1,"м. Львів"
"13",55,"Лікар-спеціаліст",2,"Львівська область"
"14",46,"Лікар-спеціаліст",1,"м. Львів"
"15",50,"Лікар-спеціаліст",1,"Львівська область"
"16",47,"Лікар-спеціаліст",2,"м. Львів"
"17",57,"Лікар-спеціаліст",1,"Львівська область"
"18",50,"Лікар-спеціаліст",2,"м. Львів"
"19",55,"Лікар-спеціаліст",1,"Львівська область"
"20",53,"Лікар-спеціаліст",1,"Львівська область"
"21",49,"Лікар-спеціаліст",2,"Львівська область"
"22",49,"Лікар-спеціаліст",1,"Львівська область"
"23",39,"Лікар-спеціаліст",1,"м. Львів"
"24",64,"Лікар-спеціаліст",1,"м. Львів"
"25",60,"Лікар-спеціаліст",1,"Не вказано"
"26",40,"Лікар-спеціаліст",1,"Львівська область"
"27",47,"Лікар-спеціаліст",1,"м. Львів"
"28",43,"Лікар-спеціаліст",1,"Львівська область"
"29",50,"Лікар-спеціаліст",1,"Львівська область"
"30",52,"Лікар-спеціаліст",2,"Львівська область"
"31",41,"Лікар-спеціаліст",1,"м. Львів"
"32",58,"Лікар-спеціаліст",1,"Львівська область"
"33",42,"Лікар-спеціаліст",1,"Львівська область"
"34",55,"Лікар-спеціаліст",1,"м. Львів"
"35",51,"Лікар-спеціаліст",1,"м. Львів"
"36",55,"Лікар-спеціаліст",1,"м. Львів"
"37",35,"Лікар-спеціаліст",2,"м. Львів"
"38",59,"Лікар-спеціаліст",2,"м. Львів"
"39",30,"Лікар-спеціаліст",2,"м. Львів"
"40",41,"Лікар-спеціаліст",1,"м. Львів"
"41",58,"Лікар-спеціаліст",2,"м. Львів"
"42",36,"Лікар-спеціаліст",1,"м. Львів"
"43",45,"Лікар-спеціаліст",2,"м. Львів"
"44",34,"Лікар-спеціаліст",1,"м. Львів"
"45",46,"Лікар-спеціаліст",1,"м. Львів"
"46",58,"Лікар-спеціаліст",1,"м. Львів"
"47",50,"Лікар-спеціаліст",1,"м. Львів"
"48",45,"Лікар-спеціаліст",1,"м. Львів"
"49",35,"Лікар-спеціаліст",2,"м. Львів"
"50",25,"Лікар-спеціаліст",1,"м. Львів"
"51",63,"Лікар-спеціаліст",2,"м. Львів"
"52",44,"Лікар-спеціаліст",2,"м. Львів"
"53",32,"Лікар-спеціаліст",1,"м. Львів"
"54",49,"Лікар-спеціаліст",1,"м. Львів"
"55",42,"Лікар-спеціаліст",2,"м. Львів"
"56",29,"Лікар-спеціаліст",1,"м. Львів"
"57",52,"Лікар-спеціаліст",1,"м. Львів"
"58",62,"Лікар-спеціаліст",2,"м. Львів"
"59",38,"Лікар-спеціаліст",1,"Львівська область"
"60",53,"Лікар-спеціаліст",1,"Львівська область"
"61",73,"Лікар-спеціаліст",2,"Львівська область"
"62",50,"Лікар-спеціаліст",2,"Львівська область"
"63",32,"Лікар-спеціаліст",1,"Львівська область"
"64",38,"Лікар-спеціаліст",1,"м. Львів"
"65",40,"Лікар-спеціаліст",1,"м. Львів"
"66",38,"Лікар-спеціаліст",1,"м. Львів"
"67",46,"Лікар-спеціаліст",1,"м. Львів"
"68",34,"Лікар-спеціаліст",1,"м. Львів"
